id,speed,ball,grouped,SysBias,Amplitude,Theta
01,20,1,1,2.416219264,19.51721085,1.1824179
02,20,1,1,-9.666928032,19.33004371,1.589099298
03,20,1,1,-16.43454578,15.79480023,2.162521188
04,20,1,1,-7.012334136,12.049448,-0.606977429
05,20,1,1,-9.089837182,13.32182396,2.198085133
07,20,1,1,-17.3299227,3.579102334,-0.297781425
08,20,1,1,-35.53078025,23.07422151,0.743993705
11,20,1,1,-22.3998565,14.4154962,1.135923932
12,20,1,1,-29.46613804,11.03688805,0.363566312
13,20,1,1,5.686887542,6.257345133,-2.419198267
14,20,1,1,24.40470503,20.62677947,2.11052224
15,20,1,1,-8.753681817,15.79097264,-0.811182196
16,20,1,1,-2.842878817,23.74464668,1.289260339
17,20,1,1,-13.21800113,22.25647385,0.597336076
18,20,1,1,-23.31428104,10.18327256,-2.124624591
19,20,1,1,-14.30760972,10.38135476,1.373847807
01,40,1,1,-12.30181444,16.14023593,0.946793294
02,40,1,1,-10.10951148,18.61725752,2.381263216
03,40,1,1,-21.26909939,19.21356671,1.448768131
04,40,1,1,-12.37000552,10.03908609,-1.137822626
05,40,1,1,-10.04479637,13.92199533,1.888249416
07,40,1,1,-18.50731757,9.72383902,0.688271005
08,40,1,1,-28.87176241,25.65265302,0.581272667
11,40,1,1,-32.71948809,34.26984406,1.114165446
12,40,1,1,-21.57844903,3.313729394,-1.911240397
13,40,1,1,-15.62541129,8.227768548,1.596702085
14,40,1,1,18.37403078,10.74174719,1.5483287
15,40,1,1,-8.217915062,9.422694849,-0.585099648
16,40,1,1,-4.628880818,31.30184342,1.665121021
17,40,1,1,-32.37954275,40.21240854,0.674451986
18,40,1,1,-20.48921005,11.43998255,-2.208767865
19,40,1,1,-20.68521252,7.212394365,0.453406573
01,80,1,1,11.2973147,18.73028164,1.051381163
02,80,1,1,-6.059511728,27.25896883,1.758039959
03,80,1,1,-28.96792374,20.81592875,1.639126003
04,80,1,1,-11.78075067,4.055868733,0.39022763
05,80,1,1,-4.410161026,17.45342989,1.972917809
07,80,1,1,-17.97318461,15.97199647,1.297109876
08,80,1,1,-33.78344386,24.60928435,0.432442525
11,80,1,1,-13.4041692,29.04743203,1.579175637
12,80,1,1,-14.34424938,9.768689471,-2.772543709
13,80,1,1,-4.885925964,31.95136338,1.585396017
14,80,1,1,22.10324863,14.44812808,2.482423397
15,80,1,1,-8.025681094,6.916434966,1.80224929
16,80,1,1,-4.085714959,29.73120947,1.676176648
17,80,1,1,-18.92485574,15.31654445,0.902076967
18,80,1,1,-18.76338413,12.31655034,-2.500450456
19,80,1,1,-8.072258775,11.35750798,2.119710335
01,160,1,2,-5.543304804,11.07021624,0.359921243
02,160,1,2,-13.57342539,21.89239311,1.702789769
03,160,1,2,-17.81593098,26.04417493,1.771558648
04,160,1,2,-4.900438583,1.4610482,-1.132716872
05,160,1,2,-9.767095517,13.1699675,2.157956246
07,160,1,2,-10.90511107,14.76423841,2.033811791
08,160,1,2,-32.01876123,17.92152918,0.491114802
11,160,1,2,-21.59479442,30.84201542,1.094764827
12,160,1,2,-8.709247558,14.46883197,-2.635780562
13,160,1,2,-0.097395004,1.931605716,-2.607341212
14,160,1,2,32.2977332,37.86928174,2.632599653
15,160,1,2,-2.594223815,10.33948312,-0.913038139
16,160,1,2,-2.810998596,26.25826036,1.257679702
17,160,1,2,-10.74604202,43.23420398,0.511885185
18,160,1,2,-18.56058948,14.84066469,-1.989262351
19,160,1,2,-19.77143136,8.443987027,0.567198532
01,240,1,2,3.659953352,20.44940038,0.741989067
02,240,1,2,-15.63001942,21.30697481,1.230237428
03,240,1,2,-12.83954739,42.19068629,2.515996712
04,240,1,2,-5.564765083,6.498692076,1.522798146
05,240,1,2,-8.008610795,13.60818882,2.268601177
07,240,1,2,-15.41637339,16.14997326,1.626379644
08,240,1,2,-32.6901587,22.51813707,0.378959589
11,240,1,2,-20.95223855,15.09143576,1.02159168
12,240,1,2,-5.533152655,10.4629554,2.116015266
13,240,1,2,17.49857009,7.359217992,2.900061443
14,240,1,2,18.38323202,31.48637139,1.689740732
15,240,1,2,-3.708441022,3.593970341,-2.843359729
16,240,1,2,-4.693634931,37.56614103,1.519499207
17,240,1,2,-9.767672993,30.67584239,2.365132023
18,240,1,2,-20.40578418,16.01747567,-2.714797998
19,240,1,2,-14.88201518,7.87038343,0.7398828
01,320,1,2,4.984535483,10.43573663,1.299534139
02,320,1,2,-11.35602124,26.42241759,1.541219009
03,320,1,2,-17.61919366,28.09029105,2.141937255
